Ticker
AAPL
MSFT
NVDA
AMZN
META
BRK.B
GOOGL
AVGO
AVGO
GOOG
JPM
LLY
TSLA
V
XOM
UNH
MA
NFLX
COST
PG
JNJ
ABBV
WMT
HD
BAC
CVX
KO
CRM
ORCL
CSCO
PM
WFC
PM
MRK
IBM
GE
ABT
MCD
LIN
PEP
ACN
TMO
T
VZ
DIS
RTX
PLTR
QCOM
ISRG
GS
NOW
AMD
ADBE
AMGN
INTU
TXN
CAT
PGR
SPGI
UBER
BKNG
AXP
MS
PFE
BSX
NEE
UNP
BLK
CMCSA
HON
DHR
C
SCHW
GILD
TJX
VRTX
COP
SYK
BA
LOW
AMAT
TMUS
FI
PANW
DE
BMY
ADP
MDT
ETN
MMC
MU
SBUX
CB
BX
PLD
ADI
INTC
LRCX
AMT
ELV
ICE
LMT
MO
SO
KLAC
CME
GEV
DUK
CI
WELL
CRWD
ANET
NKE
UPS
MDLZ
CVS
AON
MCK
MMM
WM
EQIX
AJG
APH
PH
TT
KKR
SHW
ORLY
TDG
CL
ZTS
WMB
MCO
CDNS
MSI
REGN
EOG
PYPL
SNPS
GD
PNC
ITW
CEG
NOC
CTAS
BDX
CMG
USB
COF
APD
APO
EMR
ECL
FTNT
OKE
ROP
BK
HCA
AZO
TRV
FCX
SLB
CSX
ADSK
MAR
HLT
CARR
AEP
FDX
JCI
TFC
GM
NEM
ABNB
ALL
AFL
KMI
WDAY
HWM
PSX
RCL
NSC
NXPI
AIG
PCAR
SPG
O
AMP
TGT
MET
MPC
RSG
PAYX
CPRT
DLR
PSA
KMB
COR
D
FICO
CCI
SRE
KVUE
SRE
CMI
MSCI
EXC
TEL
VST
VST
BKR
YUM
FAST
GWW
KR
TRGP
HES
CTVA
VLO
EW
ROST
PEG
AXON
URI
OTIS
AME
VRSK
DFS
LHX
XEL
KDP
FIS
PWR
MNST
F
CTSH
PRU
CBRE
DHI
GEHC
GLW
PCG
ED
LULU
ETR
SYY
A
ACGL
HIG
IT
IDXX
VICI
CHTR
VICI
TTWO
WEC
EA
WTW
CSGP
IR
GIS
RMD
OXY
DD
IQV
HUM
EBAY
GRMN
CAH
EQT
WAB
VMC
NDAQ
EXR
NUE
MPWR
DAL
ODFL
DELL
EFX
MLM
AVB
CNC
XYL
FANG
MTB
ROK
MCHP
LEN
DXCM
BRO
VTR
ANSS
TSCO
DTE
STZ
HPQ
AWK
IP
BR
KEYS
RJF
AEE
FITB
STT
CHD
KHC
PPG
FTV
TPL
DOW
IRM
PPL
MTD
GDDY
DOV
GPN
HSY
TYL
VLTO
CPAY
UAL
WBD
EQR
DVN
SBAC
ATO
CNP
TDY
CDW
CINF
SW
CBOE
EIX
ES
ZBH
ADM
STE
NVR
K
DRI
WAT
HAL
CMS
CCL
HBAN
WY
PHM
CTRA
SYF
HPE
EXPE
TROW
BIIB
IFF
MKC
FE
SMCI
LUV
LH
VRSN
NRG
RF
NTRS
PTC
INVH
ESS
LYV
WRB
NTAP
LYB
LII
MAA
STX
DGX
PODD
ON
LDOS
HUBB
NI
CFG
STLD
DECK
DG
MOH
CLX
PFG
PKG
SNA
TRMB
BAX
GPC
TSN
TPR
WST
FDS
LNT
EXPD
ULTA
DPZ
COO
KEY
OMC
L
EL
JBL
FFIV
EVRG
WDC
BALL
MAS
J
EG
LVS
ARE
GEN
BLDR
APTV
PNR
ZBRA
ROL
BBY
TER
AVY
DOC
AMCR
HOLX
KIM
IEX
FSLR
TXT
CF
RVTY
UDR
DLTR
JKHY
CPT
SWK
AKAM
CAG
POOL
JNPR
REG
SJM
JBHT
FOXA
CHRW
ALGN
NDSN
NDSN
MRNA
VTRS
SWKS
ALLE
KMX
AIZ
LKQ
PNW
GL
EMN
HST
SOLV
PAYC
BG
UHS
ERIE
NWSA
EPAM
TAP
BXP
IPG
INCY
TECH
ALB
AES
DAY
RL
CRL
HSIC
MOS
NCLH
HRL
ENPH
MKTX
HII
AOS
WBA
HAS
GNRC
MTCH
WYNN
APA
CPB
LW
FRT
MGM
IVZ
PARA
DVA
